frame_no,person_id,confidence,x1,y1,x2,y2
74,2,0.58,478,323,521,404
75,1,0.82,719,350,787,471
75,2,0.77,478,323,519,412
76,1,0.82,718,348,789,460
76,2,0.82,478,321,522,415
77,1,0.82,718,347,785,456
77,2,0.84,477,318,528,416
78,1,0.6,719,346,777,455
78,2,0.76,476,318,534,417
79,1,0.82,719,345,772,457
79,2,0.28,476,319,536,417
80,1,0.85,719,342,778,458
80,2,0.6,476,321,526,417
81,1,0.86,719,340,785,458
81,2,0.81,475,319,521,417
82,1,0.7,719,340,789,455
82,2,0.8,474,316,521,414
83,1,0.77,719,342,788,454
83,2,0.82,472,315,528,413
84,1,0.79,719,343,780,456
84,2,0.79,472,314,517,410
85,1,0.79,720,341,779,457
85,2,0.81,472,315,513,409
86,1,0.79,720,338,785,459
86,2,0.76,474,316,508,407
87,1,0.78,722,336,791,452
87,2,0.78,473,315,514,409
88,1,0.85,724,336,790,448
88,2,0.82,472,312,519,413
89,1,0.84,726,336,784,448
89,2,0.81,471,310,526,409
90,1,0.81,727,337,778,449
90,2,0.56,471,310,530,406
91,1,0.86,730,337,777,451
91,2,0.72,472,312,516,407
92,1,0.84,728,335,785,452
92,2,0.65,471,313,519,407
93,1,0.82,727,335,793,453
93,2,0.82,470,311,515,406
94,1,0.71,730,338,787,452
94,2,0.83,470,308,517,408
95,1,0.76,732,342,789,453
95,2,0.84,470,305,522,406
96,1,0.8,731,344,782,454
96,2,0.77,472,304,515,401
97,1,0.81,732,343,785,456
97,2,0.7,476,305,512,402
98,1,0.81,731,342,790,454
98,2,0.79,477,306,518,403
99,1,0.62,730,342,794,453
99,2,0.8,477,304,522,406
100,1,0.7,730,343,794,459
100,2,0.83,477,302,528,406
101,1,0.72,730,347,784,460
101,2,0.85,477,300,532,404
102,1,0.83,728,348,776,463
102,2,0.68,476,301,536,401
103,1,0.84,726,347,781,467
103,2,0.8,471,304,533,400
104,1,0.84,722,347,786,468
104,2,0.78,474,305,526,402
105,1,0.82,718,350,790,466
105,2,0.8,478,302,523,403
106,1,0.69,718,355,774,467
106,2,0.81,477,300,525,402
107,1,0.79,717,359,770,470
107,2,0.83,476,300,529,401
108,1,0.73,716,362,767,474
108,2,0.83,475,301,534,402
109,1,0.72,714,361,772,479
109,2,0.7,478,305,530,402
110,1,0.78,711,361,776,478
110,2,0.77,487,307,527,401
111,1,0.78,709,361,772,476
111,2,0.71,492,307,532,404
112,1,0.8,709,365,765,478
112,2,0.81,491,307,539,405
113,1,0.83,708,367,756,480
113,2,0.64,493,306,533,405
114,1,0.82,708,367,755,487
114,2,0.52,497,307,537,405
115,1,0.83,702,365,759,489
115,2,0.63,495,310,541,409
116,1,0.84,695,364,763,488
116,2,0.76,499,310,543,410
117,1,0.81,697,365,762,487
117,2,0.83,501,308,540,406
118,1,0.84,698,368,757,484
118,2,0.84,502,306,543,405
119,1,0.83,698,367,750,486
119,2,0.81,503,306,544,404
120,1,0.8,698,363,751,484
120,2,0.73,504,307,545,405
121,1,0.82,696,361,754,484
121,2,0.69,507,309,542,401
122,1,0.8,695,359,754,477
122,2,0.68,509,309,541,398
123,1,0.83,695,362,750,479
123,2,0.71,510,307,552,405
124,1,0.83,694,363,742,476
124,2,0.76,511,306,545,400
125,1,0.8,694,359,739,479
125,2,0.76,510,308,552,400
126,1,0.84,690,359,746,483
126,2,0.74,511,309,546,405
127,1,0.83,687,358,752,485
127,2,0.71,511,311,544,406
128,1,0.85,686,358,751,482
128,2,0.74,511,310,549,408
129,1,0.8,686,360,746,479
129,2,0.75,511,307,552,406
130,1,0.8,686,362,739,478
130,2,0.78,511,306,546,402
131,1,0.72,687,361,741,475
131,2,0.8,511,308,544,401
132,1,0.73,685,360,742,479
132,2,0.81,511,309,545,402
133,1,0.73,686,360,744,471
133,2,0.79,512,309,544,402
134,1,0.73,685,362,737,478
134,2,0.8,512,307,551,405
135,1,0.74,685,365,733,477
135,2,0.79,511,305,556,405
136,1,0.8,684,366,729,482
136,2,0.81,510,306,560,402
137,1,0.78,681,360,732,488
137,2,0.76,511,308,550,399
138,1,0.75,680,360,740,490
138,2,0.73,510,309,546,397
139,1,0.49,679,363,742,497
139,2,0.76,510,308,547,396
140,1,0.68,678,367,731,487
140,2,0.78,508,305,550,401
141,1,0.83,677,369,726,487
141,2,0.77,506,304,550,400
142,1,0.84,677,368,732,485
142,2,0.81,508,305,553,402
143,1,0.81,677,368,734,483
143,2,0.77,508,306,548,401
144,1,0.81,676,369,736,484
144,2,0.8,507,306,550,403
145,1,0.72,676,373,737,485
145,2,0.8,507,303,554,406
146,1,0.8,675,375,730,485
146,2,0.83,508,302,559,405
147,1,0.83,676,375,722,486
147,2,0.78,508,302,562,401
148,1,0.79,676,375,723,489
148,2,0.77,509,303,563,397
149,1,0.64,672,375,717,483
149,2,0.79,509,305,561,402
150,1,0.78,670,379,711,483
150,2,0.81,510,305,554,402
151,1,0.84,669,381,711,488
151,2,0.82,511,303,554,404
152,1,0.76,669,381,716,489
152,2,0.79,512,301,555,401
153,1,0.73,667,378,719,495
153,2,0.71,513,302,554,396
154,1,0.74,665,376,725,482
154,2,0.79,515,304,552,397
155,1,0.71,664,375,720,471
155,2,0.79,515,306,550,401
156,1,0.49,662,376,712,472
156,2,0.79,518,304,554,405
157,1,0.73,660,377,708,483
157,2,0.74,519,302,560,410
158,1,0.82,657,378,703,488
158,2,0.77,514,303,570,411
159,1,0.78,654,376,707,497
159,2,0.75,516,304,569,405
160,1,0.66,654,378,710,501
160,2,0.76,518,306,557,403
161,1,0.79,654,378,707,498
161,2,0.82,516,306,555,405
162,1,0.7,652,377,700,496
162,2,0.69,517,304,556,405
163,1,0.85,653,372,704,490
163,2,0.72,519,301,557,407
164,1,0.82,651,369,705,484
164,2,0.79,520,302,561,407
165,1,0.79,650,367,702,490
165,2,0.78,523,303,557,404
166,1,0.82,649,368,704,484
166,2,0.77,525,304,555,402
167,1,0.81,649,371,696,483
167,2,0.77,526,301,556,398
168,1,0.81,649,370,690,482
168,2,0.78,526,301,561,398
169,1,0.78,648,368,692,485
169,2,0.75,527,301,566,404
170,1,0.73,642,367,698,491
170,2,0.77,528,301,569,402
171,1,0.8,643,368,700,491
171,2,0.77,528,302,570,401
172,1,0.8,645,371,700,485
172,2,0.79,529,303,571,404
173,1,0.83,646,373,695,485
173,2,0.71,532,301,571,406
174,1,0.82,646,372,694,487
174,2,0.81,535,299,571,407
175,1,0.84,647,368,698,492
175,2,0.79,536,299,571,406
176,1,0.82,648,366,700,488
176,2,0.81,539,300,572,404
177,1,0.66,648,367,699,486
177,2,0.77,543,302,573,403
178,1,0.8,647,368,696,483
178,2,0.76,544,302,574,397
179,1,0.79,647,367,691,486
179,2,0.73,544,300,575,397
180,1,0.79,647,365,691,491
180,2,0.75,544,299,580,398
181,1,0.6,642,365,691,494
181,2,0.78,544,300,583,398
182,1,0.77,642,365,695,485
182,2,0.75,544,301,582,401
183,1,0.72,644,366,696,480
183,2,0.71,544,301,581,401
184,1,0.81,643,366,689,479
184,2,0.78,545,300,579,403
185,1,0.74,642,366,687,480
185,2,0.79,544,298,581,403
186,1,0.82,642,363,691,481
186,2,0.76,544,297,582,399
187,1,0.8,642,361,692,487
187,2,0.79,545,299,580,397
188,1,0.8,644,363,693,480
188,2,0.81,546,300,578,400
189,1,0.77,645,366,690,459
189,2,0.73,546,299,580,406
190,1,0.82,646,365,688,478
190,2,0.73,548,298,580,395
191,1,0.79,647,365,686,486
191,2,0.76,546,297,583,395
192,1,0.75,642,365,690,489
192,2,0.63,547,297,583,395
193,1,0.82,641,365,693,488
193,2,0.47,546,299,582,397
194,1,0.72,642,368,693,486
194,2,0.77,545,301,580,399
195,1,0.82,643,370,688,486
195,2,0.78,546,299,581,402
196,1,0.75,644,370,688,489
196,2,0.82,547,298,581,404
197,1,0.78,645,369,689,489
197,2,0.82,549,299,581,403
198,1,0.77,645,368,693,495
198,2,0.77,550,302,584,403
199,1,0.64,644,370,693,493
199,2,0.78,552,304,583,405
200,1,0.69,645,371,690,488
200,2,0.75,553,303,584,404
201,1,0.84,645,371,685,487
201,2,0.72,553,302,586,401
202,1,0.81,644,370,684,491
202,2,0.68,552,302,587,395
203,1,0.75,638,369,684,494
203,2,0.75,553,303,589,396
204,1,0.78,638,369,683,490
204,2,0.76,555,305,590,397
205,1,0.8,639,371,683,488
205,2,0.77,555,305,588,397
206,1,0.81,639,373,685,487
206,2,0.79,554,303,588,398
207,1,0.85,639,373,688,490
207,2,0.6,553,302,586,396
208,1,0.8,639,370,690,496
208,2,0.73,553,302,587,396
209,1,0.79,639,367,693,498
209,2,0.78,556,304,588,400
210,1,0.75,639,367,692,497
210,2,0.77,558,307,589,402
211,1,0.73,639,369,688,496
211,2,0.74,559,308,589,404
212,1,0.81,639,368,682,493
212,2,0.69,559,306,591,401
213,1,0.76,638,367,679,480
213,2,0.69,559,304,593,396
214,1,0.79,637,367,677,470
214,2,0.49,560,303,591,400
215,1,0.78,638,367,676,470
215,2,0.76,560,305,595,400
216,1,0.72,639,370,677,474
216,2,0.74,559,307,595,403
217,1,0.74,638,370,679,485
217,2,0.78,559,306,595,410
218,1,0.68,637,371,683,490
218,2,0.76,559,305,594,407
219,1,0.84,637,368,686,493
219,2,0.78,560,303,595,408
220,1,0.81,636,364,687,499
220,2,0.78,560,302,595,408
221,1,0.55,637,364,687,467
221,2,0.81,561,304,596,408
222,1,0.79,638,365,687,482
222,2,0.69,564,305,598,412
223,1,0.75,636,367,681,484
223,2,0.69,566,304,600,413
224,1,0.82,636,367,677,489
224,2,0.7,567,301,603,422
225,1,0.77,636,367,676,495
225,2,0.56,568,299,606,425
226,1,0.75,632,367,678,496
226,2,0.69,569,299,605,420
227,1,0.76,633,369,679,492
227,2,0.77,568,302,603,406
228,1,0.8,633,370,676,488
228,2,0.78,568,304,600,400
229,1,0.8,631,369,675,488
229,2,0.78,567,302,601,405
230,1,0.8,631,367,676,493
230,2,0.72,567,299,600,405
231,1,0.81,631,365,680,497
231,2,0.39,567,301,603,402
232,1,0.78,630,365,683,497
232,2,0.56,567,302,602,397
233,1,0.72,631,365,684,493
233,2,0.39,569,303,601,390
234,1,0.8,631,364,680,491
234,2,0.79,571,304,602,396
235,1,0.79,631,365,675,494
235,2,0.72,572,304,602,410
236,1,0.68,631,365,672,476
236,2,0.64,571,303,606,419
237,1,0.66,630,366,671,475
237,2,0.73,571,304,607,405
238,1,0.79,630,367,673,485
238,2,0.71,571,307,602,403
239,1,0.81,630,369,677,487
239,2,0.73,568,309,600,406
240,1,0.79,630,367,682,486
240,2,0.78,566,309,600,408
241,1,0.5,631,366,681,493
241,2,0.68,567,307,599,380
242,1,0.4,631,365,679,488
242,2,0.47,568,307,600,403
243,1,0.49,633,366,678,460
243,2,0.77,569,308,599,408
244,1,0.8,633,369,681,478
244,2,0.67,570,311,600,410
245,1,0.78,633,370,680,486
245,2,0.76,572,310,601,416
246,1,0.8,633,369,677,491
246,2,0.75,573,309,602,415
247,1,0.73,636,368,677,495
247,2,0.79,574,307,603,403
248,1,0.62,638,367,675,466
248,2,0.76,574,306,605,401
249,1,0.54,637,368,674,472
249,2,0.77,573,308,605,402
250,1,0.79,634,370,674,480
250,2,0.76,573,309,606,406
251,1,0.83,633,368,676,484
251,2,0.78,574,308,604,409
252,1,0.62,633,365,678,483
252,2,0.78,574,305,604,411
253,1,0.82,633,364,681,487
253,2,0.67,575,303,605,407
254,1,0.8,632,363,685,490
254,2,0.75,576,303,605,401
255,1,0.81,632,365,686,487
255,2,0.62,576,304,606,375
256,1,0.8,633,366,687,486
256,2,0.53,579,304,608,391
257,1,0.82,635,366,681,486
257,2,0.67,580,303,609,397
258,1,0.78,635,364,678,491
258,2,0.75,579,301,611,405
259,1,0.7,634,363,677,497
259,2,0.76,580,301,613,405
260,1,0.76,633,366,676,498
260,2,0.75,580,301,614,403
261,1,0.78,630,367,676,487
261,2,0.72,581,304,613,401
262,1,0.8,630,368,678,485
262,2,0.68,580,304,612,373
263,1,0.81,629,366,682,486
263,2,0.69,579,303,612,391
264,1,0.81,627,363,685,487
264,2,0.73,580,301,613,401
265,1,0.82,628,363,687,491
265,2,0.78,580,302,612,408
266,1,0.56,630,365,685,489
266,2,0.77,579,304,613,410
267,1,0.78,632,367,684,486
267,2,0.69,580,307,613,417
268,1,0.82,633,368,681,489
268,2,0.75,581,309,613,412
269,1,0.84,634,369,678,493
269,2,0.74,578,308,613,413
270,1,0.81,634,368,677,498
270,2,0.67,578,308,612,400
271,1,0.8,633,368,676,493
271,2,0.72,579,308,613,403
272,1,0.81,632,371,676,492
272,2,0.71,578,310,613,401
273,1,0.81,631,372,678,490
273,2,0.75,578,311,610,399
274,1,0.83,630,372,679,488
274,2,0.78,577,309,610,402
275,1,0.82,631,370,677,495
275,2,0.78,576,307,612,405
276,1,0.79,632,369,676,502
276,2,0.78,575,305,613,412
276,15,0.48,1006,157,1028,207
277,1,0.76,632,371,679,501
277,2,0.8,577,308,614,415
278,1,0.8,633,373,681,497
278,2,0.78,577,311,615,419
279,1,0.81,634,375,680,495
279,2,0.79,579,313,614,415
280,1,0.84,635,375,679,499
280,2,0.76,581,313,612,416
281,1,0.8,636,374,676,503
281,2,0.77,582,312,612,411
282,1,0.7,636,374,675,507
282,2,0.76,583,310,612,403
283,1,0.77,635,376,676,501
283,2,0.75,583,312,614,411
284,1,0.82,634,378,675,498
284,2,0.79,580,313,615,413
285,1,0.82,631,380,676,499
285,2,0.81,580,313,614,416
286,1,0.85,632,379,677,499
286,2,0.79,581,311,614,416
287,1,0.82,632,378,677,494
287,2,0.8,581,310,614,420
288,1,0.88,633,376,678,496
288,2,0.77,582,310,615,420
289,1,0.79,635,375,681,495
289,2,0.81,583,312,614,416
290,1,0.81,636,376,683,493
290,2,0.78,584,314,615,414
291,1,0.84,637,376,681,497
291,2,0.78,586,313,615,411
292,1,0.81,638,375,682,501
292,2,0.75,587,311,616,414
293,1,0.77,638,375,682,505
293,2,0.75,586,310,616,407
294,1,0.72,637,376,679,501
294,2,0.72,586,311,618,409
295,1,0.78,637,378,682,502
295,2,0.76,586,312,619,410
296,1,0.8,638,380,680,498
296,2,0.78,584,312,619,413
297,1,0.83,638,379,680,495
297,2,0.81,585,310,621,412
298,1,0.85,638,378,681,499
298,2,0.76,583,309,621,413
299,1,0.84,639,374,681,502
299,2,0.76,583,308,622,412
300,1,0.83,639,373,683,501
300,2,0.77,586,309,621,410
301,1,0.82,639,373,686,496
301,2,0.78,590,311,621,408
302,1,0.82,641,374,688,495
302,2,0.75,592,311,624,407
303,1,0.84,641,374,686,499
303,2,0.77,593,309,625,411
304,1,0.81,641,374,684,504
304,2,0.78,594,307,626,414
305,1,0.78,641,374,685,504
305,2,0.79,597,308,628,413
306,1,0.81,640,375,683,496
306,2,0.81,599,309,628,413
307,1,0.84,638,376,682,491
307,2,0.83,599,310,629,411
308,1,0.82,638,376,682,492
308,2,0.82,599,310,630,409
309,1,0.83,637,374,684,494
309,2,0.82,599,309,630,409
310,1,0.82,638,371,686,496
310,2,0.8,599,308,630,409
311,1,0.78,638,371,689,495
311,2,0.82,599,308,630,406
312,1,0.72,638,373,693,490
312,2,0.8,600,309,630,405
313,1,0.82,637,373,689,490
313,2,0.77,601,309,630,405
314,1,0.81,637,373,685,493
314,2,0.79,601,307,631,403
315,1,0.82,638,372,680,498
315,2,0.76,600,305,632,408
316,1,0.83,636,372,678,501
316,2,0.79,599,305,630,403
317,1,0.8,635,372,677,495
317,2,0.79,597,305,630,401
318,1,0.82,633,375,676,490
318,2,0.79,593,307,630,400
319,1,0.8,632,374,677,494
319,2,0.8,591,306,629,401
319,28,0.6,1225,203,1248,257
320,1,0.8,632,372,676,493
320,2,0.8,591,304,626,405
320,28,0.31,1229,204,1253,261
321,1,0.82,632,370,677,491
321,2,0.79,590,304,625,407
322,1,0.82,632,370,679,490
322,2,0.79,589,305,622,405
323,1,0.84,633,372,682,490
323,2,0.8,589,307,620,400
324,1,0.84,634,375,685,490
324,2,0.82,590,309,619,397
325,1,0.79,635,376,684,493
325,2,0.81,589,308,618,399
326,1,0.81,636,375,680,495
326,2,0.77,588,307,619,403
327,1,0.82,636,375,679,503
327,2,0.78,586,307,619,407
328,1,0.78,635,375,678,503
328,2,0.77,584,309,618,403
329,1,0.83,634,376,677,496
329,2,0.76,583,310,620,400
330,1,0.83,634,377,679,493
330,2,0.79,582,309,618,404
331,1,0.84,634,377,683,491
331,2,0.8,582,307,614,407
332,1,0.83,634,376,685,499
332,2,0.77,581,306,613,406
333,1,0.83,637,376,686,505
333,2,0.8,581,307,611,397
334,1,0.83,639,376,690,500
334,2,0.78,582,309,612,396
335,1,0.81,639,379,696,496
335,2,0.8,583,311,612,394
336,1,0.81,640,381,697,495
336,2,0.8,582,310,612,396
337,1,0.86,641,381,688,498
337,2,0.78,582,308,613,399
338,1,0.85,642,380,684,503
338,2,0.79,582,307,614,401
339,1,0.81,642,378,684,509
339,2,0.78,582,309,614,400
340,1,0.8,642,379,684,497
340,2,0.78,581,310,612,400
341,1,0.83,643,382,687,495
341,2,0.8,579,310,611,401
342,1,0.8,644,384,691,496
342,2,0.79,578,309,610,403
343,1,0.81,645,384,695,497
343,2,0.78,577,309,613,405
344,1,0.81,646,384,696,503
344,2,0.78,576,310,612,403
345,1,0.8,647,384,696,507
345,2,0.71,578,312,612,399
346,1,0.81,648,386,700,505
346,2,0.74,577,313,609,397
347,1,0.82,649,389,702,504
347,2,0.8,577,311,607,398
348,1,0.85,650,391,697,508
348,2,0.78,576,310,609,398
349,1,0.84,653,390,694,514
349,2,0.76,574,310,606,395
350,1,0.8,654,389,693,518
350,2,0.8,570,310,603,395
351,1,0.72,654,389,693,516
351,2,0.82,567,310,603,398
352,1,0.77,654,391,695,511
352,2,0.8,566,308,605,399
353,1,0.79,654,393,696,505
353,2,0.79,563,305,603,399
354,1,0.82,653,394,702,501
354,2,0.81,564,303,600,396
355,1,0.82,653,391,705,498
355,2,0.83,565,304,597,390
356,1,0.84,655,390,706,498
356,2,0.81,566,304,596,394
357,1,0.8,656,389,708,505
357,2,0.8,566,303,594,389
358,1,0.81,657,392,710,505
358,2,0.73,565,301,595,393
359,1,0.83,659,394,709,505
359,2,0.76,565,300,594,395
360,1,0.84,661,394,704,511
360,2,0.77,565,301,597,397
361,1,0.83,662,393,702,516
361,2,0.73,565,302,597,399
362,1,0.75,663,392,702,524
362,2,0.74,563,303,598,400
363,1,0.75,663,393,703,516
363,2,0.61,562,304,598,374
364,1,0.7,663,397,703,515
364,2,0.76,561,303,598,395
365,1,0.72,663,399,705,515
365,2,0.78,562,303,597,395
366,1,0.76,663,398,710,521
366,2,0.77,564,304,597,398
367,1,0.82,663,394,715,518
367,2,0.78,566,306,597,399
368,1,0.84,663,393,717,520
368,2,0.74,565,306,597,404
369,1,0.74,663,393,718,511
369,2,0.71,559,305,601,407
370,1,0.82,663,393,717,508
370,2,0.7,559,304,601,399
371,1,0.82,660,393,711,513
371,2,0.77,558,304,597,390
372,1,0.67,660,391,707,520
372,2,0.74,558,304,595,385
373,1,0.47,660,388,705,526
373,2,0.74,556,302,596,385
374,1,0.51,660,385,705,493
374,2,0.78,556,297,593,389
375,1,0.58,660,384,704,489
375,2,0.77,557,296,592,392
376,1,0.75,659,385,703,495
376,2,0.76,557,297,591,395
377,1,0.8,659,387,702,495
377,2,0.71,558,298,591,390
378,1,0.82,661,387,706,500
378,2,0.71,559,298,590,394
379,1,0.82,662,384,710,503
379,2,0.71,559,296,591,395
380,1,0.83,662,382,712,510
380,2,0.74,559,294,594,396
381,1,0.82,662,382,714,507
381,2,0.68,561,294,593,384
382,1,0.84,663,385,715,500
382,2,0.64,561,297,592,379
383,1,0.81,664,388,712,496
383,2,0.78,560,297,594,382
384,1,0.88,665,390,709,506
384,2,0.79,559,296,595,386
385,1,0.78,665,389,707,512
385,2,0.81,560,293,595,389
386,1,0.75,662,388,708,519
386,2,0.8,562,293,597,386
387,1,0.8,664,390,707,514
387,2,0.77,565,295,601,390
388,1,0.83,664,392,708,516
388,2,0.79,567,295,599,394
389,1,0.84,665,394,711,517
389,2,0.8,568,295,598,400
390,1,0.87,664,393,716,521
390,2,0.66,569,294,598,398
391,1,0.85,663,393,718,528
391,2,0.64,569,294,600,391
392,1,0.85,664,390,718,526
392,2,0.57,572,295,601,384
393,1,0.74,664,390,716,525
393,2,0.54,573,296,602,366
394,1,0.83,665,393,715,518
394,2,0.78,574,296,605,392
395,1,0.81,665,395,710,518
395,2,0.77,573,295,606,401
396,1,0.83,665,396,707,526
396,2,0.77,573,295,607,406
397,1,0.82,666,394,706,534
397,2,0.79,574,298,609,404
398,1,0.78,666,392,710,541
398,2,0.8,576,301,611,405
399,1,0.76,667,392,707,523
399,2,0.8,580,301,613,408
400,1,0.77,666,394,705,494
400,2,0.77,582,301,614,412
401,1,0.85,664,395,708,508
401,2,0.68,582,301,621,411
402,1,0.85,664,395,711,518
402,2,0.71,583,302,620,408
403,1,0.76,663,393,713,524
403,2,0.76,584,303,617,403
404,1,0.81,663,391,714,527
404,2,0.73,584,303,616,405
405,1,0.82,662,391,713,521
405,2,0.82,584,302,617,407
406,1,0.8,662,393,713,510
406,2,0.83,584,301,615,403
407,1,0.86,662,393,711,517
407,2,0.81,583,299,615,398
408,1,0.83,662,390,710,521
408,2,0.82,583,300,617,394
409,1,0.83,661,386,708,525
409,2,0.78,584,300,618,393
410,1,0.81,661,382,706,529
410,2,0.78,584,299,618,393
411,1,0.64,659,383,705,526
411,2,0.78,585,297,617,393
412,1,0.78,658,386,704,514
412,2,0.77,583,296,617,394
413,1,0.78,657,388,709,515
413,2,0.76,584,296,617,393
414,1,0.76,657,388,713,519
414,2,0.77,585,297,616,387
415,1,0.83,657,383,713,525
415,2,0.8,583,298,615,389
416,1,0.81,658,382,712,528
416,2,0.79,582,297,614,391
417,1,0.81,659,382,713,525
417,2,0.79,581,293,613,396
418,1,0.84,661,384,718,520
418,2,0.78,581,293,616,401
419,1,0.82,662,388,721,521
419,2,0.73,582,294,615,392
420,1,0.82,663,389,719,526
420,2,0.77,580,295,614,386
421,1,0.84,664,389,716,531
421,2,0.76,581,294,614,392
422,1,0.8,666,390,715,537
422,2,0.79,583,293,616,392
423,1,0.79,667,391,718,533
423,2,0.79,584,293,620,392
424,1,0.73,668,394,717,526
424,2,0.76,584,296,616,390
425,1,0.8,669,396,718,526
425,2,0.74,584,297,616,393
426,1,0.81,669,398,720,525
426,2,0.77,583,297,616,395
427,1,0.83,671,397,723,531
427,2,0.79,584,296,619,390
428,1,0.87,671,395,727,532
428,2,0.79,585,296,620,391
429,1,0.86,672,392,732,531
429,2,0.76,587,297,621,394
430,1,0.82,672,395,730,528
430,2,0.77,589,301,622,394
431,1,0.85,675,398,728,524
431,2,0.77,591,305,623,399
432,1,0.84,678,401,724,538
432,2,0.75,594,306,625,405
433,1,0.84,679,400,724,545
433,2,0.8,597,305,628,410
434,1,0.83,678,399,725,541
